"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 1 курс",column_1,column_2,column_3
,,"лек.ОСН.БОТАНИКИ доц.Шевченко Е.Н. УК№1,к.329",
,10.10-11.40,переезд,"лек. ВОДНЫЕ РАСТЕНИЯ ПРЕСНЫХ ВОДОЕМОВ
доцент Гуркина О.А. С-305"
,12.00-13.30,"пр.з Иностранный язык
лаб.ин.яз. доц.Иванова Л.М., ст.пр.Дидусенко Е.Н.",лек.ПСИХОЛОГИЯ ЛИЧНОСТИ доцент Капичников А.И. С-208
,,,пр.з. Психология личности С-208 доц.Капичников А.И.
,13.40-15.10,пр.з. Экология С-265 доц.Харитонова М.В.,"пр.з Иностранный язык
лаб.ин.яз. доц.Иванова Л.М., ст.пр. Афанасьева Е.Г."
,15.20-16.50,лаб.з. Зоология 1п/г С-265 Харитонова М.В.,лаб.з. Гистология и эмбриология рыб 2п/г С-123 проф.Зирук И.В.
,,* * *,
,17.00-18.30,,
"ца
и
н
Пят",8.30-10.00,,"лаб.з. Рыбохозяйственная гидротехника 1п/г УК№2, гл-4"
,,,* * *
,10.10-11.40,"лаб.з. Генетика 1п/г 406 асс.Стрильчук А.А.
лаб.з. Физиология с/х животных 2п/г С-273 Клюкин С.Д.","лаб.з. Рыбохозяйственная гидротехника 1п/г УК№2, гл-4
доц.Никишанов А.Н."
,12.00-13.30,лек. ГЕНЕТИКА доцент Преображенская Т.С. 304,"лек.РЫБОХОЗЯЙСТВЕННАЯ ГИДРОТЕХНИКА УК№2, гл-4"
,13.40-15.10,"лаб.з. Зоология 2п/г С-265 доц.Харитонова М.В.
лаб.з. Физиология с/х животных 1п/г С-273 Клюкин С.Д.","лаб.з. Рыбохозяйственная гидротехника 2п/г УК№2, гл-4
доц.Никишанов А.Н."
,15.20-16.50,лаб.з. Генетика 2п/г 406 асс.Стрильчук А.А.,* * *
,,,"лаб.з. Рыбохозяйственная гидротехника 2п/г УК№2, гл-4"
"ота
б
б
у
С",8.30-10.00,"лаб.з.Осн.ботаники 1п/г УК№1,329 ст.пр.Гулина Е.В.","лаб.з. Гидрология 1п/г УК№2,111 доц.Демакина"
,,"лаб.з.Осн.ботаники 2п/г УК№1,329 ст.пр. Гулина Е.В.","лаб.з. Гидрология 2п/г УК№2,111 доц.Фисенко"
,10.10-11.40,"лаб.з.Осн.ботаники 1п/г УК№1,329 ст.пр.Гулина Е.В.","лаб.з. Гидрология 1п/г УК№2,111 доц.Демакина"
,,"лаб.з.Осн.ботаники 2п/г УК№1,329 ст.пр.Гулина Е.В.","лаб.з. Гидрология 2п/г УК№2,111 доц.Фисенко"
,12.00-13.30,,
,13.40-15.10,,
,,,
